id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0023514,CG14805,protein_coding,1.27714773,4.047220394,123.3222436,3.56E-08,2.09E-07,11.36411873,8.622988473,10.98749205,22.97867634,25.65736175,26.51241723,15.24061223,13.08809396,13.76101459
FBgn0019972,Drice,protein_coding,1.277653617,3.313835523,103.165247,1.05E-07,5.32E-07,5.815043733,6.287229885,5.214403006,12.87437394,12.58307539,16.59201603,9.316288877,10.29882803,10.1951169
FBgn0037354,CG12171,protein_coding,1.278016305,3.84821881,141.8378018,1.50E-08,1.01E-07,6.697576357,5.461811436,5.451421324,15.38609684,13.31652738,14.0587362,23.79022397,23.62532079,22.06548774
FBgn0010830,l(3)04053,protein_coding,1.278196493,4.118045092,222.8942134,8.66E-10,1.11E-08,9.792485288,9.114727124,8.549589344,21.55058246,22.6495357,22.43209627,19.98007091,21.09829354,20.89280998
FBgn0027082,ProRS-m,protein_coding,1.279413981,2.369703422,89.02733272,2.55E-07,1.14E-06,4.146694387,3.178739132,3.318256458,7.779164632,8.713947931,9.41761283,2.997010636,3.21838376,2.943660512
FBgn0015575,alpha-Est7,protein_coding,1.281074901,2.32900449,66.74746516,1.36E-06,4.90E-06,3.699383331,3.108490753,2.691850902,7.807870036,7.273959624,8.063951848,3.856618338,3.313743279,4.786439857
FBgn0035443,CG12010,protein_coding,1.28139933,1.231183582,34.32300067,4.78E-05,0.000116775,1.668349345,1.01860149,1.608338589,2.705484378,3.633615353,4.177011029,2.044472372,2.074069535,1.723118349
FBgn0025725,alphaCOP,protein_coding,1.281458588,7.110219857,240.0610687,5.38E-10,7.87E-09,72.71827038,69.35271178,68.04118728,159.8747506,158.9101115,192.1811834,174.5003635,164.9242878,182.8898669
FBgn0262616,CR43142,pseudogene,1.282413323,4.727650547,35.95574734,0.000317502,0.000650886,19.79049187,12.20565578,16.08338589,39.30487517,32.33244773,45.59903707,19.14369585,27.79729974,25.75104643
FBgn0039223,CG5805,protein_coding,1.282731824,4.165916657,179.1076303,3.48E-09,3.25E-08,11.44874515,11.55585828,11.30915977,26.32285597,29.16985659,28.00144431,16.19315049,13.97016951,12.92338761
FBgn0033665,Zip48C,protein_coding,1.283481865,4.648055799,257.1436458,3.46E-10,5.79E-09,15.30529182,15.63026424,14.01794055,36.06834081,35.55559912,37.84449345,22.9538489,22.33796729,25.46386004
FBgn0034667,comr,protein_coding,1.284695416,4.918153725,296.3356265,1.38E-10,3.06E-09,17.98915816,18.03627121,19.43550211,41.57977848,46.55065003,47.01071209,26.7872346,26.53378611,27.66562238
FBgn0028931,CG16863,protein_coding,1.285309221,3.565744977,132.3428047,2.31E-08,1.45E-07,5.778775269,6.79653063,6.551863517,15.53680021,15.51015443,15.54776328,15.33354279,11.91993985,13.330235
FBgn0053971,Ir62a,protein_coding,1.285447697,1.134130417,53.50159746,4.68E-06,1.46E-05,1.257306753,1.404967572,1.117372073,2.963833019,2.960723621,3.306800398,1.881843888,1.978710016,2.488948726
FBgn0264962,Pcf11,protein_coding,1.287849715,7.270928366,282.0940281,1.90E-10,3.82E-09,92.77473099,96.69689315,89.69450365,211.9535308,238.6545106,231.0312535,152.7778445,130.7140604,145.1727209
FBgn0036733,U4-U6-60K,protein_coding,1.288269135,5.540490637,193.9716724,2.10E-09,2.20E-08,25.64180407,26.30801779,23.02463665,60.05888266,69.3818665,53.58563686,53.20274695,51.87557824,55.47483795
FBgn0025634,CG13367,protein_coding,1.288681995,4.520213031,162.8796139,6.33E-09,5.11E-08,14.71290691,13.31206775,12.76512944,33.11886049,37.58100324,28.92966898,22.04777592,20.59765607,22.87918252
FBgn0040507,ACXD,protein_coding,1.288697182,2.77073845,111.2809141,6.67E-08,3.59E-07,5.271016772,4.372961568,4.046241294,11.46063276,10.65187612,11.39009026,4.692993399,4.148139069,4.594982263
FBgn0010397,LamC,protein_coding,1.288902609,6.370234121,299.4514817,1.29E-10,2.94E-09,49.8086906,47.2771588,46.5571697,112.1950737,127.1832663,111.5996789,85.7981417,78.09944592,85.53368025
FBgn0263258,chas,protein_coding,1.29015568,5.629250524,267.3960671,2.69E-10,4.87E-09,25.03732967,26.06214846,23.19393545,62.51319475,63.95163022,55.152016,64.07562275,59.62353915,65.69388704
FBgn0040235,"c12,1",protein_coding,1.290227045,4.474280435,114.8760262,6.05E-08,3.31E-07,11.99277211,13.69843383,10.85205301,26.94719852,30.71750757,31.73368101,28.78524169,23.83987971,21.20392857
FBgn0265751,lncRNA:CR44558,ncRNA,1.290923517,1.916197346,75.94549618,6.47E-07,2.57E-06,2.683866338,2.669438387,2.674921023,6.164485626,6.372284703,7.135727175,1.812145966,2.121749294,1.459864156
FBgn0050076,CG30076,protein_coding,1.292236914,1.169173192,54.22468925,4.35E-06,1.37E-05,1.257306753,1.721085276,1.55754895,3.659939079,3.84221179,3.577532595,1.18486467,1.168154106,1.483796356
FBgn0015546,spel1,protein_coding,1.293131529,4.815899071,223.6108996,8.49E-10,1.10E-08,19.47616518,16.63130363,16.11724565,39.62781097,43.76487826,44.70948842,24.48720318,24.88883441,23.21423331
FBgn0040528,CG15864,protein_coding,1.293186048,2.298045789,36.91778602,4.74E-05,0.000115768,3.916994115,3.336797984,3.01351862,8.015984219,7.40853797,9.823711124,1.672750123,3.313743279,2.967592712
FBgn0035975,PGRP-LA,protein_coding,1.295010937,1.343281581,48.95592661,7.58E-06,2.24E-05,1.94640757,1.475215951,1.52368919,3.731702591,3.573055097,4.911855562,1.742448044,1.859510617,1.459864156
FBgn0266129,lov,protein_coding,1.295520821,4.102580778,138.9135174,1.71E-08,1.12E-07,9.320995255,9.448406922,8.109412467,23.53125538,21.18263173,21.27181543,23.72052604,18.66662581,19.12182723
