"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1623499_at",0.257598542732362,8.07665323995912,2.65650785795572,0.025652627629667,0.0426538514509079,-5.26136812439705
"1623500_at",-0.181600380557479,5.04420540639269,-2.27130055999689,0.0485589010135252,0.0738890639910341,-5.89438545249095
"1623501_at",-0.124398266195653,11.8283967215388,-1.61121671022928,0.140748987044231,0.185486044257163,-6.89656455172863
"1623502_at",-0.196132646237757,11.9675080940837,-2.12403803113642,0.0618727248273397,0.091175793556313,-6.1295330432936
"1623503_at",-2.86062506626986,7.03824538076003,-18.5033749775982,1.3074321235931e-08,1.57824545263289e-07,10.3074891232469
"1623504_at",-0.250888676398456,5.35952021754816,-2.03028732129026,0.0721184169976838,0.104271302940197,-6.27642950087211
"1623505_s_at",1.45660642156145,12.730141186873,13.3907787244162,2.34257365651078e-07,1.57713875446509e-06,7.19011186804073
"1623506_s_at",1.8287350323896,7.71189568080161,10.5019736234764,1.94392551777224e-06,9.2403502414897e-06,4.88850954934194
"1623507_at",-0.264394800659131,11.3034778063975,-2.9022421185783,0.0170857583132299,0.0299767905528914,-4.85001629664209
"1623508_at",-0.0096218414973066,10.866400898615,-0.0913138851461867,0.929194218766633,0.941816709491134,-8.15852307037671
"1623509_at",-0.82849882386838,6.80065606233689,-7.05916572610936,5.21528064869252e-05,0.000170678637288932,1.30922829414773
"1623510_at",0.868774543824642,8.98257818659177,8.39629339028676,1.28147003427497e-05,4.86896954482342e-05,2.83488840370415
"1623511_at",-0.0927507961341165,4.9917453623995,-0.992076051775253,0.346453359156231,0.40403569397138,-7.64531490780677
"1623512_at",0.090129661141706,4.17350144434639,0.960735250657248,0.361174974396531,0.419012494782264,-7.67602872656961
"1623513_at",1.8929658989022,8.91400574531729,16.225557764763,4.25282004150453e-08,3.93744237550532e-07,9.03775336412045
"1623514_a_at",-0.895895114950569,6.5241298990377,-9.09976880013168,6.56016193312188e-06,2.69575431388825e-05,3.56383406142599
"1623515_at",-0.38884505383921,5.89152668318345,-3.50350136619745,0.00643114844602666,0.0127746698825173,-3.84221078371483
"1623516_s_at",-1.53667979774221,8.57858067092108,-13.4251927132535,2.29014068607747e-07,1.54843903969105e-06,7.21468699668025
"1623517_at",-0.296981055542297,5.47644800613679,-2.57411543552788,0.0294080901156332,0.0480384523247268,-5.39834898801266
"1623518_s_at",-0.396190843108323,10.4184907571202,-4.86750798157045,0.000824204950867089,0.00205018141866821,-1.66871409602783
"1623519_at",0.404669749313644,7.11354671731755,4.83612684800918,0.000861547163810528,0.00213466359635732,-1.71611183595819
"1623520_a_at",0.0981738874889029,6.9674157990937,0.94494540477951,0.368763558399864,0.426979897287037,-7.69119724371575
"1623521_at",-0.455748885226489,6.03075721330719,-2.88746941541873,0.0175070499580223,0.0305744204574676,-4.87482173100593
"1623522_at",-0.453329615654978,5.78761733528713,-3.68679815476829,0.00480948307434745,0.00986357788389058,-3.5385293614053
"1623523_at",-0.309351876962443,4.52271073048104,-3.63337859439815,0.00523233222422919,0.0106147677492605,-3.62675927103836
"1623524_at",1.65433272707618,7.96801720124936,13.1818382763576,2.69079142163682e-07,1.77130528040504e-06,7.0396318046057
"1623525_at",1.6885310066655,8.50596754392985,15.003265434403,8.5541603800286e-08,6.95787328421897e-07,8.28229211082402
"1623526_at",-0.037870687354121,5.16795897913209,-0.3448899792679,0.737905747003933,0.774737671997038,-8.09769383037152
"1623527_at",-0.42590277668659,6.88908418342892,-3.46112174008419,0.00688185055070422,0.0135534481593003,-3.91277408585376
"1623528_a_at",-0.131520982538775,4.93710236594145,-1.44184403197834,0.182400987833958,0.232425436793463,-7.12503370187884
"1623529_s_at",-0.356656196744876,5.76216265497148,-4.00784099278719,0.00292066739897391,0.0063144522639007,-3.01391824925315
"1623530_at",-0.175562609101653,4.753260942849,-2.00424525554787,0.075240977054294,0.108035987357601,-6.31679279458937
"1623531_at",-0.383444244555749,12.377099446541,-4.57276295724936,0.00125668462527488,0.00298342565679689,-2.11916710100873
"1623532_at",-0.448674817947621,5.71299753208994,-3.70288815212916,0.00468926982666699,0.00964731239198792,-3.51200223568614
"1623533_at",-0.112175400204322,4.56563941865295,-0.871372768201514,0.405643851339291,0.46362093056219,-7.75911031354631
"1623534_at",-0.0931570053054136,6.49725614946697,-0.638377197781072,0.538742441967634,0.593239600265563,-7.94232341952209
"1623535_at",-0.919436685711867,11.8098796112627,-9.00113055388382,7.18734018038196e-06,2.91804779559981e-05,3.464408813173
"1623536_s_at",0.617566288777295,9.84008721084941,6.62975481594365,8.53097228193576e-05,0.000265047519159421,0.775566033737723
"1623537_at",-0.256176226750939,6.01297205967808,-2.39504370107849,0.0395731052341983,0.0619928492642194,-5.69338213167392
"1623538_at",-0.300828190611482,5.55739996956908,-2.83196345800417,0.0191868698224656,0.0330873118175949,-4.96796231295588
"1623539_at",0.131862953022416,13.0990690412044,1.56412798675453,0.151385603397882,0.197607270169891,-6.96158310740245
"1623540_at",-1.20283988621758,7.45971879526862,-8.77191236701156,8.91455388862932e-06,3.52858448824776e-05,3.22991908120233
"1623541_at",-0.406608211570703,6.35456855006177,-3.01958967819323,0.0140864678872355,0.0253241073229831,-4.65282827167427
"1623542_at",-0.883424784328822,12.2085121404341,-7.77913930217015,2.39413291302099e-05,8.50489352719282e-05,2.1549971172555
"1623543_at",0.705198261375253,9.77375642893527,5.93824695419786,0.000197638737316377,0.000564954653034687,-0.133286225912306
"1623544_at",-0.497429696231134,5.56176474956656,-3.3054542051024,0.00884050049876501,0.0169049707852482,-4.17287097313831
"1623545_at",2.50806632309912,8.10895439401005,26.6306876985432,4.80575519831443e-10,1.55884646329811e-08,13.807797176724
"1623546_at",0.0315603468778143,8.77227267303935,0.369219914351929,0.720291726532587,0.759146301926681,-8.08820455214369
"1623547_at",-0.10749718841238,4.66944947180423,-1.12671650603713,0.288300577914044,0.344767324118309,-7.50454118614172
"1623548_at",0.59793249707924,5.81892775197057,5.97349868324152,0.000189069978644704,0.000542752837817999,-0.0854216938003365
"1623549_at",-0.465853583994926,8.4442134133601,-5.03114473329867,0.000655678870275855,0.00166820055705034,-1.42375763737563
"1623550_at",0.140686921484034,6.74889367414725,1.57542965331048,0.148769336482413,0.194527146751393,-6.94607890464241
"1623551_at",-0.0708522103602895,10.7274119093235,-0.872386219713791,0.405118809027558,0.463160503630952,-7.75820627430746
"1623552_s_at",-1.77326707835206,7.37120390150764,-14.1958203015957,1.39811210277568e-07,1.03101247361108e-06,7.75006999338779
"1623553_a_at",-0.230186842760082,9.23792148816652,-1.90567235593246,0.0882622293957907,0.123980564149794,-6.46764939624699
"1623554_at",-1.22350283087861,10.7345870192083,-12.2615589890484,5.07805567880484e-07,2.97034911187375e-06,6.34945650056365
