id,gene,logFC,logCPM,F,PValue,FDR,13__13_S13,14__14_S14,15__15_S15,Wyr_34_S2,Wyr_53_S5
ENSG00000284395,PERCC1,2.155339316,1.978444796,31.23329135,0.001163507,0.014641948,1.193517851,0.523196705,0.614616105,3.182568575,2.419960781
ENSG00000197982,C1orf122,2.156083536,5.10384777,35.23847743,0.000838222,0.012648504,3.731338696,4.237221553,3.516101668,6.338016911,5.567990166
ENSG00000168268,NT5DC2,2.157753849,6.074158128,24.54718524,0.002200051,0.01957475,4.488217781,5.069862514,4.858358539,7.504922468,6.132912625
ENSG00000004139,SARM1,2.15854864,4.688241742,28.84428939,0.00143992,0.016068812,3.010622779,3.702893284,3.538644869,6.013714538,4.980336451
ENSG00000130748,TMEM160,2.159621638,3.084320903,32.04542278,0.001085606,0.014290777,1.908047601,1.982476319,1.697238966,4.398717866,3.370853971
ENSG00000288709,F8A2,2.161258933,2.563699655,17.91791778,0.004855802,0.030173837,2.074199137,0.430103223,1.112204575,3.669929701,3.185327321
ENSG00000063660,GPC1,2.163170701,8.10248098,96.57911734,4.15E-05,0.006747405,6.660273778,7.026786204,6.826661644,9.124561865,8.879534877
ENSG00000166917,MIR202HG,2.169544231,9.703065616,37.15447401,0.000724654,0.011923216,8.419834234,8.718023213,8.123179755,11.02985323,10.01450095
ENSG00000131650,KREMEN2,2.172130257,2.5136802,50.01327987,0.000293397,0.009062311,1.407937464,1.046685965,1.434175804,3.597532073,3.171115841
ENSG00000261236,BOP1,2.173351217,6.311335337,72.71434997,9.76E-05,0.00712546,4.855409532,5.089021957,5.185656406,7.407708489,6.998508054
ENSG00000100065,CARD10,2.174579241,7.261105631,62.26456399,0.000167333,0.007971453,5.625840116,6.264429286,6.02928778,8.363554785,7.942600276
ENSG00000116661,FBXO2,2.177594175,4.491798888,55.95775491,0.000211663,0.008565121,3.074779491,3.44185266,3.171262168,5.610564549,5.142080176
ENSG00000112787,FBRSL1,2.17877521,7.908198873,77.65181729,8.33E-05,0.006926818,6.423645944,6.80257149,6.66828292,9.043668688,8.547466455
ENSG00000128283,CDC42EP1,2.179555617,5.558656196,22.87660162,0.002637953,0.021443938,3.209480721,4.539780879,4.722196924,6.526684642,6.401430758
ENSG00000161677,JOSD2,2.180712845,3.757831214,72.03813459,0.000100371,0.00712546,2.573344306,2.381004728,2.571773435,4.719402588,4.594901152
ENSG00000061938,TNK2,2.183895631,7.868321687,44.92473792,0.000426537,0.010222925,6.510296741,6.809518656,6.441837503,9.182940022,8.213542169
ENSG00000168056,LTBP3,2.185570662,7.214139883,61.48977097,0.000173537,0.008030171,5.59609071,5.986487621,6.182087341,8.356129319,7.847503069
ENSG00000177225,GATD1,2.18746054,7.668814577,51.30896177,0.000292437,0.009061238,6.186541584,6.619676479,6.342835285,8.935593119,8.105593741
ENSG00000176170,SPHK1,2.189227125,4.213025898,37.43737745,0.000709638,0.011917378,2.836515605,3.13770668,2.867243841,5.518334463,4.562602708
ENSG00000101004,NINL,2.189353627,6.779174463,37.21177151,0.000721579,0.011923216,5.289764944,5.284517873,5.86060506,8.085396347,7.142944242
ENSG00000130244,FAM98C,2.191596981,4.485069317,35.54018903,0.000818855,0.01250203,3.306190996,3.13770668,3.213908013,5.825044174,4.770129606
ENSG00000050555,LAMC3,2.196142116,7.647450381,46.11619547,0.000396134,0.009892336,5.802008451,6.35743307,6.777751902,8.380605273,8.71998626
ENSG00000218891,ZNF579,2.199036464,4.184645443,36.26458633,0.000774703,0.012273558,2.52823034,3.092853676,3.066560894,5.455352294,4.605508588
ENSG00000089847,ANKRD24,2.201892172,6.451175792,20.01032027,0.003699263,0.025955004,5.346093336,5.155962659,4.978654058,7.987110122,6.245705779
ENSG00000204498,NFKBIL1,2.204186061,5.5867903,53.09702283,0.000256007,0.008938513,4.043354275,4.399491045,4.440325595,6.788320978,6.138401525
ENSG00000213599,SLX1A-SULT1A3,2.206187638,1.688283846,40.56118738,0.000549347,0.010990204,0.248126881,0.523196705,0.697095182,2.86776743,2.18556761
ENSG00000173040,EVC2,2.208892691,4.734762518,54.08722149,0.00023374,0.00872083,3.209480721,3.621017816,3.504696582,5.89143543,5.351918964
ENSG00000179588,ZFPM1,2.210558685,6.510010352,52.57857709,0.000272673,0.008971932,5.177371403,5.271159573,5.210439725,7.792368635,6.932639722
ENSG00000160447,PKN3,2.214575306,3.920649411,28.58984046,0.001474269,0.016246885,2.194586243,3.107960149,2.481570567,5.206887496,4.320126012
ENSG00000123689,G0S2,2.214888856,4.719080712,33.67183952,0.000949109,0.013521381,3.251724202,3.871709437,3.050963434,5.959039052,5.209688248
ENSG00000148826,NKX6-2,2.215277,3.098931024,29.84777561,0.001314289,0.015484402,1.407937464,1.652350054,2.308723345,4.330159781,3.578933781
ENSG00000099889,ARVCF,2.215397616,6.126587535,63.67704547,0.000146931,0.007665895,4.488217781,5.06212692,4.893764265,7.198115816,6.869132319
ENSG00000160460,SPTBN4,2.21571832,6.087275048,44.05594368,0.000450669,0.010477556,4.595989638,4.953421465,4.812843364,7.391741916,6.471239003
ENSG00000070047,PHRF1,2.217013794,7.965908392,94.36168637,4.45E-05,0.006747405,6.536163438,6.848266268,6.602932087,9.058674154,8.685094469
ENSG00000173486,FKBP2,2.217239561,1.937565785,36.26444038,0.000774711,0.012273558,0.132306593,0.982563181,0.919528686,2.597754065,3.020725667
ENSG00000179403,VWA1,2.218918403,6.181736006,66.48531305,0.000127413,0.007495531,4.551589201,5.188303166,4.849369655,7.093889819,7.104199884
ENSG00000163701,IL17RE,2.219227683,2.196059489,38.83839825,0.000632297,0.011452101,0.871055262,0.771086504,1.227698383,3.416989429,2.662754018
ENSG00000136830,NIBAN2,2.221246851,6.493375532,73.80820728,9.34E-05,0.007077548,4.931015772,5.247480723,5.372936534,7.58266376,7.217444577
ENSG00000125503,PPP1R12C,2.222758018,8.566119009,34.82729514,0.000865598,0.012831447,7.294075941,7.138589907,7.351618089,9.986342932,8.712645868
ENSG00000184363,PKP3,2.222833989,2.268113312,49.96901632,0.000294149,0.009062311,1.193517851,1.046685965,0.849127033,2.86776743,3.407685412
ENSG00000104866,PPP1R37,2.222857103,7.0347634,50.80759145,0.000300761,0.009117655,5.615092994,5.867259622,5.709843179,8.337595162,7.429300254
ENSG00000006015,REX1BD,2.222994601,4.314971879,52.17731758,0.00025961,0.008938513,2.68031818,2.982432887,3.347590895,5.361661609,5.082581771
ENSG00000185559,DLK1,2.22299564,6.896155479,35.11909868,0.000846051,0.012657783,4.952519212,5.810676329,5.858366575,7.387147393,8.144755786
ENSG00000072840,EVC,2.224642954,6.196443194,60.98037457,0.000170089,0.007971453,4.579499192,5.177603347,4.871737717,7.301841059,6.90069723
ENSG00000198944,SOWAHA,2.225983465,2.675442959,33.80191639,0.000939192,0.013448424,1.407937464,1.277986894,1.571695013,3.993831676,2.988670511
ENSG00000127191,TRAF2,2.227497894,5.681185594,72.11287663,0.000100061,0.00712546,4.36534167,4.209476916,4.549805641,6.778998356,6.395330668
ENSG00000150281,CTF1,2.228052079,2.674964713,34.13706059,0.000914261,0.013295114,0.941571869,1.567467774,1.656592873,3.902344367,3.156762975
ENSG00000013364,MVP,2.235999962,7.397064514,81.40984056,7.15E-05,0.006758743,5.816153488,6.338345372,6.056881284,8.466230962,8.15607459
ENSG00000125995,ROMO1,2.23716712,5.27539643,38.40407492,0.000661317,0.011534201,3.808836695,3.67273187,4.341215923,6.540543212,5.741521199
ENSG00000140406,TLNRD1,2.237484611,5.018535407,44.27268882,0.000444484,0.010444751,3.371504325,3.761387886,3.953692398,6.249663134,5.54061461
ENSG00000164692,COL1A2,2.238381169,11.09392743,55.75395277,0.000230385,0.008702641,9.532466186,10.17052898,9.537985212,12.21337289,11.79096652
ENSG00000135144,DTX1,2.240498684,4.480804528,31.02377985,0.001184791,0.014733263,2.760529755,3.405633275,3.295594577,5.829566584,4.784204014
ENSG00000150977,RILPL2,2.240508144,3.548287912,26.82507845,0.001744907,0.017399081,2.358199399,2.223471055,2.199781593,4.98566546,3.631779083
ENSG00000148400,NOTCH1,2.241697807,6.688367156,62.21885517,0.000165142,0.007938631,5.035464374,5.417783627,5.61225659,7.838533874,7.342397855
ENSG00000125901,MRPS26,2.242908661,4.67443272,52.40344582,0.000259701,0.008938513,3.237780028,3.453726501,3.410056923,5.90435477,5.199221679
ENSG00000099769,IGFALS,2.245812566,3.587207646,48.87353398,0.000320211,0.009233605,2.074199137,2.405665666,2.385349494,4.804564123,4.120117679
ENSG00000249201,"CTD-3080P12,3",2.248267432,2.566158441,18.58549665,0.004440619,0.028746986,0.796913992,2.04660288,0.614616105,3.080020652,3.779607374
ENSG00000104899,AMH,2.249647446,5.771323569,41.97277474,0.000516321,0.01075137,4.511585273,4.853886582,3.812826776,6.730250846,6.659888193
ENSG00000143793,C1orf35,2.251123615,5.204942549,45.58013159,0.000409448,0.010034967,3.638868088,3.826762773,4.156788215,6.456784075,5.702528186
ENSG00000130635,COL5A1,2.251446269,7.164178194,56.43346135,0.000222478,0.008616022,5.928927942,5.829025562,5.763463343,8.461503815,7.588820532
ENSG00000116176,TPSG1,2.254261038,2.172640221,17.19157912,0.005367725,0.031788798,0.548458773,1.330449258,0.77511283,3.659806971,2.067772016
ENSG00000130589,HELZ2,2.256376234,5.733782805,50.37678054,0.000308164,0.009193006,3.977752142,4.697896742,4.4699512,6.885995317,6.390738615
ENSG00000274286,ADRA2B,2.256944504,3.568295508,39.90480685,0.000594536,0.011243269,2.105250733,2.500298427,2.171210411,3.977623355,4.861465003
ENSG00000130164,LDLR,2.257016377,6.926367836,82.10821675,6.78E-05,0.006747405,5.811453869,5.536985697,5.42529234,7.637210246,8.041612361
ENSG00000090554,FLT3LG,2.261748265,3.018700349,24.20099684,0.002282445,0.019985616,1.798320265,1.567467774,1.812727243,4.475752277,3.052084045
ENSG00000121068,TBX2,2.264087155,5.313799675,39.3023136,0.000620229,0.011359828,3.551380717,3.898020291,4.391621666,6.535015748,5.870251025
ENSG00000176428,VPS37D,2.271177095,3.949602152,39.10031066,0.000629169,0.011444081,2.358199399,3.152353062,2.199781593,4.910815982,4.834666354
ENSG00000197859,ADAMTSL2,2.271552883,4.150566524,63.93215383,0.000143074,0.007665895,2.799022888,3.030794476,2.635907182,5.251384746,4.874679937
ENSG00000198835,GJC2,2.272631282,3.295496882,37.68303754,0.000696929,0.011832328,1.63769022,1.949311475,2.308723345,4.554355707,3.770209716
ENSG00000141753,IGFBP4,2.273433038,6.860311632,81.09997958,7.04E-05,0.006747405,5.241666419,5.615721975,5.672106833,7.600635106,7.959753656
ENSG00000167779,IGFBP6,2.280328494,4.311838103,21.79955949,0.002982726,0.023016924,1.872391124,3.107960149,3.516101668,5.033491219,5.419603318
ENSG00000106665,CLIP2,2.28056145,5.868157552,44.23363093,0.00044559,0.010445273,4.035315299,4.766144432,4.67718663,7.092008886,6.433039804
ENSG00000131370,SH3BP5,2.285400991,6.041546686,57.79164887,0.000204419,0.008513237,4.299742296,4.974179867,4.736893615,7.17253421,6.745102955
ENSG00000115266,APC2,2.285580192,6.18371436,49.34329372,0.000326928,0.009274614,4.319737187,5.054349625,5.027289324,7.341962617,6.850302497
ENSG00000213638,ADAT3,2.28673823,3.050278032,64.96530668,0.000136448,0.007589884,1.720239663,1.7325145,1.775249045,4.161049127,3.751228735
ENSG00000173846,PLK3,2.290102098,3.773816344,44.35892379,0.00044167,0.010426101,2.042464478,2.652295453,2.571773435,4.993747332,4.332949084
ENSG00000189306,RRP7A,2.294709079,6.466659382,65.6970557,0.000138251,0.007589884,4.977907284,5.065999902,5.278989785,7.695974406,7.033297018
ENSG00000064205,CCN5,2.294802291,6.078984936,77.86929734,7.95E-05,0.006926818,4.948244089,4.652254502,4.549805641,6.835176198,7.173564062
ENSG00000133619,KRBA1,2.300661007,5.62224388,79.15183398,7.57E-05,0.006923878,4.098406738,4.380955304,4.308793922,6.732667379,6.359745614
ENSG00000060491,OGFR,2.301899335,6.429674165,72.3702814,0.000100577,0.00712546,5.113898908,4.953421465,5.138469294,7.643002863,7.025418892
ENSG00000165644,COMTD1,2.304409685,3.239338401,40.85233883,0.000556891,0.01103813,1.798320265,2.166890467,1.736771216,4.526772083,3.682756888
ENSG00000175416,CLTB,2.30464598,6.205944682,33.38797993,0.000971233,0.013629095,4.654891413,4.910986529,4.953707443,7.646210962,6.365997708
ENSG00000130595,TNNT3,2.30769774,2.683304227,56.08423676,0.000210271,0.008545426,1.134535093,1.692989005,1.227698383,3.532447292,3.672704414
ENSG00000145214,DGKQ,2.307833921,6.355235077,53.37457551,0.000261172,0.008938513,4.982095531,4.803740894,5.167689699,7.650051288,6.819881808
ENSG00000166016,ABTB2,2.311539877,5.17567349,69.54503805,0.000111474,0.007186043,3.680699477,3.751802006,3.995034044,5.874027684,6.318432913
ENSG00000110811,P3H3,2.312435937,4.781405087,73.90859596,9.30E-05,0.007077548,3.292765861,3.488772696,3.481612306,5.893596704,5.518333894
ENSG00000086544,ITPKC,2.313290318,5.281956687,79.90484384,7.36E-05,0.006814893,3.808836695,4.030773475,3.911131035,6.386396277,6.032331302
ENSG00000157617,C2CD2,2.313491696,6.197590445,39.69675099,0.000603247,0.011243269,4.917958163,4.707846312,4.858358539,7.598649309,6.455201069
ENSG00000115641,FHL2,2.314484999,7.080600329,52.09569281,0.000279976,0.009013428,5.67323537,5.453703004,5.959992144,8.382914804,7.537812975
ENSG00000166189,HPS6,2.315006055,5.078603752,57.19799124,0.000203086,0.00849928,3.628217936,3.761387886,3.756241921,6.33483924,5.60810349
ENSG00000140939,NOL3,2.317854278,3.519250699,77.44341619,8.08E-05,0.006926818,2.042464478,2.330381009,2.142061953,4.434783975,4.46695681
ENSG00000103485,QPRT,2.319070201,4.360646708,64.25171603,0.000140981,0.007605935,2.740891065,3.12291008,3.112366322,5.48432183,5.082581771
ENSG00000165804,ZNF219,2.320115417,5.953523601,29.42393516,0.001365517,0.015735645,4.043354275,5.089021957,4.416179145,7.292043548,6.343995804
ENSG00000283154,IQCJ-SCHIP1,2.323070764,2.340082182,42.7729105,0.000480105,0.010485494,0.718755143,1.108079586,1.227698383,3.576161736,2.852814283
ENSG00000165801,ARHGEF40,2.329458322,6.682220672,80.10958638,7.31E-05,0.006814893,4.986271654,5.34951474,5.518969412,7.765478306,7.471951468
ENSG00000162591,MEGF6,2.330173253,5.020699959,53.1460468,0.000255094,0.008938513,3.332672193,3.844909818,3.717246844,6.242898012,5.613368643
ENSG00000177374,HIC1,2.334804156,5.443123021,50.98472365,0.000297785,0.009080761,4.21687069,4.077567017,3.876154136,6.745886437,5.907160771
ENSG00000160469,BRSK1,2.335417373,5.483022972,51.6339018,0.000287204,0.009036484,3.909024255,4.159601662,4.220919689,6.78483205,5.949408567
ENSG00000114923,SLC4A3,2.337593178,6.428861446,69.03283571,0.00011836,0.007321359,4.731522732,5.130297948,5.22093219,7.602618173,7.103264598
ENSG00000177548,RABEP2,2.350335207,5.464709058,61.92784814,0.000161696,0.007862835,4.098406738,4.145029056,3.970371485,6.72661844,6.008550631
